order_date,sales,year,month,day,day_name,day_of_week,date_is_weekend
2014-04-08,172.11,2014,4,8,Tuesday,1,0
2014-04-22,257.752,2014,4,22,Tuesday,1,0
2014-11-24,111.15,2014,11,24,Monday,0,0
2014-04-13,630.746,2014,4,13,Sunday,6,1
2014-02-16,9.04,2014,2,16,Sunday,6,1
2014-11-25,52.96,2014,11,25,Tuesday,1,0
2014-11-12,153.112,2014,11,12,Wednesday,2,0
2014-07-22,19.68,2014,7,22,Tuesday,1,0
2014-12-03,479.96,2014,12,3,Wednesday,2,0
2014-09-07,539.074,2014,9,7,Sunday,6,1
2014-09-29,2358.672,2014,9,29,Monday,0,0
2014-06-30,5.248,2014,6,30,Monday,0,0
2014-09-08,16.78,2014,9,8,Monday,0,0
2014-07-11,586.336,2014,7,11,Friday,4,0
2014-08-22,3.912,2014,8,22,Friday,4,0
2014-08-26,176.8,2014,8,26,Tuesday,1,0
2014-07-18,259.136,2014,7,18,Friday,4,0
2014-10-13,7.752,2014,10,13,Monday,0,0
2014-11-07,123.144,2014,11,7,Friday,4,0
2014-09-24,211.96,2014,9,24,Wednesday,2,0
2014-02-02,199.296,2014,2,2,Sunday,6,1
2014-01-18,64.864,2014,1,18,Saturday,5,1
2014-11-07,100.398,2014,11,7,Friday,4,0
2014-06-18,139.8,2014,6,18,Wednesday,2,0
2014-12-17,40.05,2014,12,17,Wednesday,2,0
2014-04-07,8.96,2014,4,7,Monday,0,0
2014-12-13,93.174,2014,12,13,Saturday,5,1
2014-12-16,1403.92,2014,12,16,Tuesday,1,0
2014-10-17,130.756,2014,10,17,Friday,4,0
2014-05-27,926.44,2014,5,27,Tuesday,1,0
2014-07-14,39.48,2014,7,14,Monday,0,0
2014-08-08,1109.725,2014,8,8,Friday,4,0
2014-09-21,66.03,2014,9,21,Sunday,6,1
2014-05-02,479.984,2014,5,2,Friday,4,0
2014-06-22,663.75,2014,6,22,Sunday,6,1
2014-08-27,1812.01,2014,8,27,Wednesday,2,0
2014-11-18,867.74,2014,11,18,Tuesday,1,0
2014-07-27,238.0,2014,7,27,Sunday,6,1
2014-08-05,489.23,2014,8,5,Tuesday,1,0
2014-11-26,414.63,2014,11,26,Wednesday,2,0
2014-08-23,424.376,2014,8,23,Saturday,5,1
2014-07-12,59.696,2014,7,12,Saturday,5,1
2014-09-29,1609.32,2014,9,29,Monday,0,0
2014-09-28,106.944,2014,9,28,Sunday,6,1
2014-05-16,232.88,2014,5,16,Friday,4,0
2014-09-03,14.4,2014,9,3,Wednesday,2,0
2014-09-21,68.71,2014,9,21,Sunday,6,1
2014-12-05,521.224,2014,12,5,Friday,4,0
2014-11-14,876.73,2014,11,14,Friday,4,0
2014-08-03,163.62,2014,8,3,Sunday,6,1
2014-11-22,9.96,2014,11,22,Saturday,5,1
2014-09-10,1508.768,2014,9,10,Wednesday,2,0
2014-02-08,14.56,2014,2,8,Saturday,5,1
2014-11-04,1729.416,2014,11,4,Tuesday,1,0
2014-09-20,3519.37,2014,9,20,Saturday,5,1
2014-06-23,86.376,2014,6,23,Monday,0,0
2014-09-07,321.978,2014,9,7,Sunday,6,1
2014-08-25,38.064,2014,8,25,Monday,0,0
2014-09-13,2.502,2014,9,13,Saturday,5,1
2014-12-23,5.184,2014,12,23,Tuesday,1,0
2014-08-04,2126.034,2014,8,4,Monday,0,0
2014-09-09,2304.37,2014,9,9,Tuesday,1,0
2014-09-20,8.56,2014,9,20,Saturday,5,1
2014-09-01,53.94,2014,9,1,Monday,0,0
2014-09-29,2354.98,2014,9,29,Monday,0,0
2014-07-26,1891.316,2014,7,26,Saturday,5,1
2014-12-29,38.976,2014,12,29,Monday,0,0
2014-11-01,15.696,2014,11,1,Saturday,5,1
2014-06-15,36.544,2014,6,15,Sunday,6,1
2014-08-11,76.28,2014,8,11,Monday,0,0
2014-11-24,721.476,2014,11,24,Monday,0,0
2014-05-12,34.79,2014,5,12,Monday,0,0
2014-05-21,186.908,2014,5,21,Wednesday,2,0
2014-12-04,129.98,2014,12,4,Thursday,3,0
2014-09-19,2692.329,2014,9,19,Friday,4,0
2014-12-31,49.568,2014,12,31,Wednesday,2,0
2014-11-25,1273.623,2014,11,25,Tuesday,1,0
2014-09-22,4.608,2014,9,22,Monday,0,0
2014-05-11,35.91,2014,5,11,Sunday,6,1
2014-11-15,803.04,2014,11,15,Saturday,5,1
2014-09-26,310.12,2014,9,26,Friday,4,0
2014-02-11,1508.13,2014,2,11,Tuesday,1,0
2014-07-22,165.94,2014,7,22,Tuesday,1,0
2014-03-17,126.624,2014,3,17,Monday,0,0
2014-07-20,602.43,2014,7,20,Sunday,6,1
2014-09-02,21.24,2014,9,2,Tuesday,1,0
2014-03-03,161.07,2014,3,3,Monday,0,0
2014-03-31,726.548,2014,3,31,Monday,0,0
2014-11-19,5.88,2014,11,19,Wednesday,2,0
2014-06-21,1326.69,2014,6,21,Saturday,5,1
2014-11-17,6160.616,2014,11,17,Monday,0,0
2014-03-25,92.36,2014,3,25,Tuesday,1,0
2014-11-11,2158.694,2014,11,11,Tuesday,1,0
2014-10-11,7.64,2014,10,11,Saturday,5,1
2014-11-15,10.95,2014,11,15,Saturday,5,1
2014-09-08,254.97,2014,9,8,Monday,0,0
2014-04-07,752.92,2014,4,7,Monday,0,0
2014-11-15,604.656,2014,11,15,Saturday,5,1
2014-08-03,93.024,2014,8,3,Sunday,6,1
2014-11-22,1022.61,2014,11,22,Saturday,5,1
2014-11-02,609.438,2014,11,2,Sunday,6,1
2014-08-17,15.552,2014,8,17,Sunday,6,1
2014-07-21,751.886,2014,7,21,Monday,0,0
2014-12-08,265.784,2014,12,8,Monday,0,0
2014-05-26,48.4,2014,5,26,Monday,0,0
2014-12-13,12.39,2014,12,13,Saturday,5,1
2014-07-12,706.064,2014,7,12,Saturday,5,1
2014-12-15,445.802,2014,12,15,Monday,0,0
2014-01-11,9.94,2014,1,11,Saturday,5,1
2014-05-19,34.2,2014,5,19,Monday,0,0
2014-05-03,21.56,2014,5,3,Saturday,5,1
2014-03-03,176.772,2014,3,3,Monday,0,0
2014-03-31,1142.165,2014,3,31,Monday,0,0
2014-09-06,100.36,2014,9,6,Saturday,5,1
2014-12-14,9.264,2014,12,14,Sunday,6,1
2014-06-21,697.32,2014,6,21,Saturday,5,1
2014-05-20,108.444,2014,5,20,Tuesday,1,0
2014-10-24,34.272,2014,10,24,Friday,4,0
2014-01-06,19.44,2014,1,6,Monday,0,0
2014-11-17,7.08,2014,11,17,Monday,0,0
2014-08-22,7.632,2014,8,22,Friday,4,0
2014-12-30,9.84,2014,12,30,Tuesday,1,0
2014-09-07,1040.19,2014,9,7,Sunday,6,1
2014-03-01,574.194,2014,3,1,Saturday,5,1
2014-12-01,58.2,2014,12,1,Monday,0,0
2014-03-30,205.666,2014,3,30,Sunday,6,1
2014-07-12,134.4,2014,7,12,Saturday,5,1
2014-04-28,1679.96,2014,4,28,Monday,0,0
2014-08-08,2049.816,2014,8,8,Friday,4,0
2014-12-01,95.968,2014,12,1,Monday,0,0
2014-07-28,193.152,2014,7,28,Monday,0,0
2014-12-30,158.388,2014,12,30,Tuesday,1,0
2014-02-06,321.56,2014,2,6,Thursday,3,0
2014-06-01,3745.63,2014,6,1,Sunday,6,1
2014-09-17,318.293,2014,9,17,Wednesday,2,0
2014-10-13,389.74,2014,10,13,Monday,0,0
2014-11-04,52.064,2014,11,4,Tuesday,1,0
2014-09-26,604.992,2014,9,26,Friday,4,0
2014-09-08,49.98,2014,9,8,Monday,0,0
2014-10-06,15.36,2014,10,6,Monday,0,0
2014-06-09,1441.3,2014,6,9,Monday,0,0
2014-09-19,92.52,2014,9,19,Friday,4,0
2014-10-07,107.44,2014,10,7,Tuesday,1,0
2014-12-02,119.8,2014,12,2,Tuesday,1,0
2014-12-24,13.97,2014,12,24,Wednesday,2,0
2014-09-13,267.552,2014,9,13,Saturday,5,1
2014-04-28,159.98,2014,4,28,Monday,0,0
2014-08-19,358.696,2014,8,19,Tuesday,1,0
2014-04-04,84.83,2014,4,4,Friday,4,0
2014-06-06,13.36,2014,6,6,Friday,4,0
2014-07-11,67.4,2014,7,11,Friday,4,0
2014-02-22,19.44,2014,2,22,Saturday,5,1
2014-06-22,8.226,2014,6,22,Sunday,6,1
2014-03-30,60.24,2014,3,30,Sunday,6,1
2014-12-22,11.76,2014,12,22,Monday,0,0
2014-12-31,2846.22,2014,12,31,Wednesday,2,0
2014-11-05,47.79,2014,11,5,Wednesday,2,0
2014-08-03,221.35,2014,8,3,Sunday,6,1
2014-09-20,64.152,2014,9,20,Saturday,5,1
2014-06-09,142.344,2014,6,9,Monday,0,0
2014-11-18,21.396,2014,11,18,Tuesday,1,0
2014-12-05,90.58,2014,12,5,Friday,4,0
2014-06-09,30.46,2014,6,9,Monday,0,0
2014-05-18,3.984,2014,5,18,Sunday,6,1
2014-04-29,17.46,2014,4,29,Tuesday,1,0
2014-01-30,240.5,2014,1,30,Thursday,3,0
2014-08-04,617.12,2014,8,4,Monday,0,0
2014-07-06,559.992,2014,7,6,Sunday,6,1
2014-11-01,2027.144,2014,11,1,Saturday,5,1
2014-12-20,732.312,2014,12,20,Saturday,5,1
2014-04-20,1190.53,2014,4,20,Sunday,6,1
2014-12-21,18.24,2014,12,21,Sunday,6,1
2014-10-06,9.09,2014,10,6,Monday,0,0
2014-11-02,94.732,2014,11,2,Sunday,6,1
2014-11-22,53.82,2014,11,22,Saturday,5,1
2014-01-09,40.544,2014,1,9,Thursday,3,0
2014-12-08,649.6,2014,12,8,Monday,0,0
2014-06-03,515.88,2014,6,3,Tuesday,1,0
2014-08-29,123.28,2014,8,29,Friday,4,0
2014-05-03,51.072,2014,5,3,Saturday,5,1
2014-05-28,85.008,2014,5,28,Wednesday,2,0
2014-11-29,5.04,2014,11,29,Saturday,5,1
2014-04-21,828.84,2014,4,21,Monday,0,0
2014-12-16,1308.196,2014,12,16,Tuesday,1,0
2014-12-20,2884.37,2014,12,20,Saturday,5,1
2014-06-16,647.84,2014,6,16,Monday,0,0
2014-04-06,44.91,2014,4,6,Sunday,6,1
2014-09-05,31.984,2014,9,5,Friday,4,0
2014-10-20,862.202,2014,10,20,Monday,0,0
2014-03-29,890.841,2014,3,29,Saturday,5,1
2014-09-30,43.176,2014,9,30,Tuesday,1,0
2014-08-06,199.98,2014,8,6,Wednesday,2,0
2014-11-03,286.344,2014,11,3,Monday,0,0
2014-10-09,88.768,2014,10,9,Thursday,3,0
2014-08-15,30.96,2014,8,15,Friday,4,0
2014-12-30,27.968,2014,12,30,Tuesday,1,0
2014-09-15,29.5,2014,9,15,Monday,0,0
2014-12-09,1110.648,2014,12,9,Tuesday,1,0
2014-09-19,73.915,2014,9,19,Friday,4,0
2014-07-18,13.904,2014,7,18,Friday,4,0
2014-10-09,160.592,2014,10,9,Thursday,3,0
2014-12-05,24.56,2014,12,5,Friday,4,0
2014-06-21,385.261,2014,6,21,Saturday,5,1
2014-04-01,73.2,2014,4,1,Tuesday,1,0
2014-03-26,66.3,2014,3,26,Wednesday,2,0
2014-10-18,249.472,2014,10,18,Saturday,5,1
2014-05-23,12.96,2014,5,23,Friday,4,0
2014-09-12,192.424,2014,9,12,Friday,4,0
2014-12-20,596.664,2014,12,20,Saturday,5,1
2014-07-04,37.44,2014,7,4,Friday,4,0
2014-12-07,8.64,2014,12,7,Sunday,6,1
2014-04-11,758.352,2014,4,11,Friday,4,0
2014-05-11,46.864,2014,5,11,Sunday,6,1
2014-05-27,1213.494,2014,5,27,Tuesday,1,0
2014-11-23,14.67,2014,11,23,Sunday,6,1
2014-11-01,76.12,2014,11,1,Saturday,5,1
2014-10-12,36.29,2014,10,12,Sunday,6,1
2014-10-25,54.474,2014,10,25,Saturday,5,1
2014-12-26,361.608,2014,12,26,Friday,4,0
2014-12-17,5.484,2014,12,17,Wednesday,2,0
2014-02-02,12.35,2014,2,2,Sunday,6,1
2014-09-08,10539.896,2014,9,8,Monday,0,0
2014-03-21,13.456,2014,3,21,Friday,4,0
2014-09-08,8.608,2014,9,8,Monday,0,0
2014-09-13,79.4,2014,9,13,Saturday,5,1
2014-05-13,405.456,2014,5,13,Tuesday,1,0
2014-04-28,211.576,2014,4,28,Monday,0,0
2014-11-20,907.56,2014,11,20,Thursday,3,0
2014-10-10,137.632,2014,10,10,Friday,4,0
2014-05-30,719.976,2014,5,30,Friday,4,0
2014-06-14,212.94,2014,6,14,Saturday,5,1
2014-11-17,1075.37,2014,11,17,Monday,0,0
2014-11-11,707.628,2014,11,11,Tuesday,1,0
2014-02-01,468.9,2014,2,1,Saturday,5,1
2014-12-20,447.944,2014,12,20,Saturday,5,1
2014-06-28,1639.711,2014,6,28,Saturday,5,1
2014-09-30,69.216,2014,9,30,Tuesday,1,0
2014-08-15,62.94,2014,8,15,Friday,4,0
2014-11-26,67.112,2014,11,26,Wednesday,2,0
2014-09-16,33.552,2014,9,16,Tuesday,1,0
2014-11-18,67.15,2014,11,18,Tuesday,1,0
2014-06-21,21.4,2014,6,21,Saturday,5,1
2014-06-03,15.28,2014,6,3,Tuesday,1,0
2014-12-28,2583.19,2014,12,28,Sunday,6,1
2014-09-25,14.576,2014,9,25,Thursday,3,0
2014-12-12,43.31,2014,12,12,Friday,4,0
2014-09-30,795.408,2014,9,30,Tuesday,1,0
2014-07-20,176.494,2014,7,20,Sunday,6,1
2014-06-21,1214.85,2014,6,21,Saturday,5,1
2014-01-05,19.536,2014,1,5,Sunday,6,1
2014-03-26,60.08,2014,3,26,Wednesday,2,0
2014-08-09,5.98,2014,8,9,Saturday,5,1
2014-06-22,196.752,2014,6,22,Sunday,6,1
